,target
9514,0
9515,0
9516,1
9519,1
9520,0
9523,0
9525,0
9530,0
9535,0
9540,0
9550,0
9553,0
9558,0
9562,0
9565,0
9576,1
9582,1
9591,1
9599,0
9603,0
9608,0
9610,0
9621,1
9626,1
9629,1
9632,0
9633,0
9634,0
9635,0
9640,1
9644,0
9645,0
9646,0
9678,0
9687,0
9688,0
9692,0
9694,0
9695,1
9701,1
9702,1
9703,0
9704,1
9705,0
9730,0
9732,0
9734,1
9745,0
9747,0
9763,0
9767,0
9774,0
9781,0
9786,1
9788,0
9797,1
9802,0
9806,0
9817,1
9820,0
9825,1
9827,0
9828,0
9831,1
9840,0
9849,0
9855,0
9861,0
9870,0
9871,0
9878,0
9881,1
9886,1
9887,0
9888,0
9889,1
9898,0
9900,1
9906,1
9908,0
9912,1
9920,0
9955,0
9963,0
9965,0
9967,0
9975,0
9976,0
9979,1
9982,1
9984,1
9985,1
9986,0
10001,0
10009,1
10014,0
10019,1
10020,0
10022,0
10026,0
10027,0
10038,0
10042,0
10044,0
10049,1
10051,0
10052,0
10053,0
10055,0
10057,0
10076,0
10079,0
10099,1
10106,1
10111,1
10130,0
10135,0
10141,1
10143,0
10147,0
10154,0
10155,0
10167,0
10169,1
10172,0
10177,1
10187,0
10189,1
10195,0
10196,0
10198,0
10207,1
10208,0
10214,0
10222,0
10234,0
10252,0
10253,0
10254,1
10269,0
10274,0
10277,0
10283,0
10289,0
10297,1
10304,0
10306,0
10315,0
10323,1
10325,0
10332,1
10343,0
10347,1
10350,0
10356,0
10375,0
10379,0
10383,0
10384,0
10394,1
10397,0
10421,0
10428,0
10434,0
10443,0
10449,0
10458,0
10470,0
10473,1
10474,0
10475,0
10478,0
10485,0
10493,0
10497,0
10498,0
10501,0
10503,1
10504,0
10505,0
10512,0
10516,0
10525,0
10528,1
10532,0
10535,0
10538,1
10543,0
10546,0
10547,0
10553,1
10556,0
10560,0
10561,1
10566,0
10570,0
10576,0
10579,0
10580,1
10581,0
10582,0
10585,0
10589,1
10596,0
10602,0
10612,0
10614,1
10615,0
10616,0
10620,0
10630,0
10632,0
10635,1
10642,0
10649,1
10652,0
10661,0
10662,0
10681,0
10687,0
10688,0
10696,0
10697,0
10700,0
10701,0
10719,1
10725,0
10728,0
10732,0
10737,1
10740,0
10743,1
10746,0
10751,0
10752,0
10754,0
10758,0
10760,0
10769,1
10782,1
10787,0
10797,0
10798,0
10799,1
10804,1
10809,0
10816,0
10830,1
10832,0
10834,0
10841,1
10860,0
10864,0
10871,0
10872,0
10878,0
10881,1
10895,0
10898,1
10902,0
10905,0
10906,0
10912,0
10918,0
10921,0
10924,0
10926,1
10927,0
10928,1
10933,0
10942,0
10947,0
10952,0
10953,0
10962,1
10965,1
10969,0
10974,0
10977,1
10983,1
10984,0
10985,0
10996,0
11005,0
11008,0
11009,0
11013,1
11014,0
11028,0
11044,1
11048,1
11051,0
11066,0
11073,0
11089,1
11103,1
11106,0
11107,0
11117,0
11120,0
11122,0
11129,1
11137,0
11140,0
11149,0
11151,0
11159,1
11164,0
11166,0
11170,0
11178,0
11182,0
11185,0
11190,0
11195,0
11196,0
11197,0
11205,0
11206,0
11210,0
11213,0
11224,0
11225,0
11231,1
11235,1
11238,1
11244,0
11245,1
11246,1
11249,1
11250,0
11254,1
11255,0
11259,0
11260,0
11265,0
11270,0
11272,0
11279,1
11281,0
11289,0
11295,0
11302,0
11304,1
11319,0
11321,0
11328,0
11329,0
11332,1
11338,0
11345,1
11350,1
11351,0
11370,0
11372,1
11375,1
11376,0
11377,0
11379,1
11382,0
11383,1
11388,0
11392,0
11398,0
11411,1
11412,0
11413,1
11423,1
11425,0
11428,0
11431,1
11444,1
11453,0
11459,1
11467,0
11478,0
11485,0
11486,0
11492,1
11497,0
11500,0
11501,0
11508,1
11519,1
11522,0
11523,0
11537,1
11553,1
11555,0
11561,0
11562,1
11563,0
11564,0
11579,1
11581,0
11583,0
11598,0
11601,0
11602,0
11609,1
11613,0
11629,0
11636,0
11648,0
11663,0
11677,0
11682,0
11688,0
11697,0
11701,0
11704,0
11705,0
11706,0
11707,1
11720,0
11722,0
11728,1
11732,0
11743,0
11747,0
11754,1
11759,1
11770,0
11776,0
11780,1
11790,0
11792,0
11807,1
11808,1
11818,0
11832,0
11835,0
11836,0
11837,0
11843,0
11845,0
11848,0
11859,0
11861,1
11864,1
11869,0
